last_day_of_the_week,average_precip,week,year,State,City
2012-09-23,0.0014285714285714286,38,2012,CO,Denver
2012-09-30,0.0,39,2012,CO,Denver
2012-10-07,0.0,40,2012,CO,Denver
2012-10-14,0.12428571428571429,41,2012,CO,Denver
2012-10-21,0.21285714285714286,42,2012,CO,Denver
2012-10-28,0.25857142857142856,43,2012,CO,Denver
2012-11-04,0.4785714285714286,44,2012,CO,Denver
2012-11-11,0.09142857142857143,45,2012,CO,Denver
2012-11-18,0.15714285714285717,46,2012,CO,Denver
2012-11-25,0.5657142857142857,47,2012,CO,Denver
2012-12-02,0.35714285714285715,48,2012,CO,Denver
2012-12-09,0.18285714285714288,49,2012,CO,Denver
2012-12-16,0.2642857142857143,50,2012,CO,Denver
2012-12-23,0.24714285714285714,51,2012,CO,Denver
2012-12-30,0.13428571428571429,52,2012,CO,Denver
2013-01-06,0.06714285714285714,1,2013,CO,Denver
2013-01-13,0.33999999999999997,2,2013,CO,Denver
2013-01-20,0.0,3,2013,CO,Denver
2013-01-27,0.09999999999999999,4,2013,CO,Denver
2013-02-03,0.12428571428571429,5,2013,CO,Denver
2013-02-10,0.03285714285714286,6,2013,CO,Denver
2013-02-17,0.025714285714285717,7,2013,CO,Denver
2013-02-24,0.0642857142857143,8,2013,CO,Denver
2013-03-03,0.10857142857142858,9,2013,CO,Denver
2013-03-10,0.11285714285714286,10,2013,CO,Denver
2013-03-17,0.07142857142857144,11,2013,CO,Denver
2013-03-24,0.16714285714285718,12,2013,CO,Denver
2013-03-31,0.012857142857142857,13,2013,CO,Denver
2013-04-07,0.42857142857142855,14,2013,CO,Denver
2013-04-14,0.2057142857142857,15,2013,CO,Denver
2013-04-21,0.17428571428571424,16,2013,CO,Denver
2013-04-28,0.005714285714285714,17,2013,CO,Denver
2013-05-05,0.02428571428571429,18,2013,CO,Denver
2013-05-12,0.03571428571428571,19,2013,CO,Denver
2013-05-19,0.028571428571428574,20,2013,CO,Denver
2013-05-26,0.18714285714285714,21,2013,CO,Denver
2013-06-02,0.09571428571428572,22,2013,CO,Denver
2013-06-09,0.0,23,2013,CO,Denver
2013-06-16,0.0014285714285714286,24,2013,CO,Denver
2013-06-23,0.06571428571428571,25,2013,CO,Denver
2013-06-30,0.11000000000000001,26,2013,CO,Denver
2013-07-07,0.0,27,2013,CO,Denver
2013-07-14,0.0,28,2013,CO,Denver
2013-07-21,0.0,29,2013,CO,Denver
2013-07-28,0.0,30,2013,CO,Denver
2013-08-04,0.011428571428571429,31,2013,CO,Denver
2013-08-11,0.014285714285714285,32,2013,CO,Denver
2013-08-18,0.014285714285714287,33,2013,CO,Denver
2013-08-25,0.0014285714285714286,34,2013,CO,Denver
2013-09-01,0.15285714285714286,35,2013,CO,Denver
2013-09-08,0.29000000000000004,36,2013,CO,Denver
2013-09-15,0.018571428571428572,37,2013,CO,Denver
2013-09-22,0.09571428571428572,38,2013,CO,Denver
2013-09-29,0.3614285714285714,39,2013,CO,Denver
2013-10-06,0.21285714285714286,40,2013,CO,Denver
2013-10-13,0.10285714285714287,41,2013,CO,Denver
2013-10-20,0.0,42,2013,CO,Denver
2013-10-27,0.011428571428571429,43,2013,CO,Denver
2013-11-03,0.09142857142857144,44,2013,CO,Denver
2013-11-10,0.22285714285714286,45,2013,CO,Denver
2013-11-17,0.07714285714285715,46,2013,CO,Denver
2013-11-24,0.15,47,2013,CO,Denver
2013-12-01,0.032857142857142856,48,2013,CO,Denver
2013-12-08,0.025714285714285714,49,2013,CO,Denver
2013-12-15,0.04857142857142858,50,2013,CO,Denver
2013-12-22,0.13714285714285715,51,2013,CO,Denver
2013-12-29,0.009999999999999998,52,2013,CO,Denver
2014-01-05,0.03142857142857143,1,2014,CO,Denver
2014-01-12,0.3,2,2014,CO,Denver
2014-01-19,0.0,3,2014,CO,Denver
2014-01-26,0.002857142857142857,4,2014,CO,Denver
2014-02-02,0.18142857142857147,5,2014,CO,Denver
2014-02-09,0.03,6,2014,CO,Denver
2014-02-16,0.4928571428571429,7,2014,CO,Denver
2014-02-23,0.2528571428571429,8,2014,CO,Denver
2014-03-02,0.18285714285714286,9,2014,CO,Denver
2014-03-09,0.5842857142857143,10,2014,CO,Denver
2014-03-16,0.3428571428571429,11,2014,CO,Denver
2014-03-23,0.004285714285714286,12,2014,CO,Denver
2014-03-30,0.24714285714285716,13,2014,CO,Denver
2014-04-06,0.04,14,2014,CO,Denver
2014-04-13,0.025714285714285714,15,2014,CO,Denver
2014-04-20,0.24571428571428572,16,2014,CO,Denver
2014-04-27,0.27999999999999997,17,2014,CO,Denver
2014-05-04,0.27714285714285714,18,2014,CO,Denver
2014-05-11,0.12,19,2014,CO,Denver
2014-05-18,0.0,20,2014,CO,Denver
2014-05-25,0.05285714285714286,21,2014,CO,Denver
2014-06-01,0.0,22,2014,CO,Denver
2014-06-08,0.0,23,2014,CO,Denver
2014-06-15,0.04857142857142858,24,2014,CO,Denver
2014-06-22,0.032857142857142856,25,2014,CO,Denver
2014-06-29,0.022857142857142857,26,2014,CO,Denver
2014-07-06,0.0,27,2014,CO,Denver
2014-07-13,0.0,28,2014,CO,Denver
2014-07-20,0.0,29,2014,CO,Denver
2014-07-27,0.11,30,2014,CO,Denver
2014-08-03,0.002857142857142857,31,2014,CO,Denver
2014-08-10,0.0,32,2014,CO,Denver
2014-08-17,0.20142857142857146,33,2014,CO,Denver
2014-08-24,0.0,34,2014,CO,Denver
2014-08-31,0.054285714285714284,35,2014,CO,Denver
2014-09-07,0.017142857142857144,36,2014,CO,Denver
2014-09-14,0.0,37,2014,CO,Denver
2014-09-21,0.004285714285714286,38,2014,CO,Denver
2014-09-28,0.27285714285714285,39,2014,CO,Denver
2014-10-05,0.004285714285714286,40,2014,CO,Denver
2014-10-12,0.04285714285714286,41,2014,CO,Denver
2014-10-19,0.20714285714285713,42,2014,CO,Denver
2014-10-26,0.37000000000000005,43,2014,CO,Denver
2014-11-02,0.3271428571428571,44,2014,CO,Denver
2014-11-09,0.16285714285714287,45,2014,CO,Denver
2014-11-16,0.0,46,2014,CO,Denver
2014-11-23,0.1757142857142857,47,2014,CO,Denver
2014-11-30,0.3428571428571429,48,2014,CO,Denver
2014-12-07,0.06428571428571428,49,2014,CO,Denver
2014-12-14,0.21857142857142858,50,2014,CO,Denver
2014-12-21,0.21,51,2014,CO,Denver
2014-12-28,0.1871428571428571,52,2014,CO,Denver
2015-01-04,0.06571428571428571,1,2015,CO,Denver
2015-01-11,0.07857142857142858,2,2015,CO,Denver
2015-01-18,0.3157142857142857,3,2015,CO,Denver
2015-01-25,0.041428571428571426,4,2015,CO,Denver
2015-02-01,0.012857142857142857,5,2015,CO,Denver
2015-02-08,0.4928571428571429,6,2015,CO,Denver
2015-02-15,0.04285714285714286,7,2015,CO,Denver
2015-02-22,0.03,8,2015,CO,Denver
2015-03-01,0.16,9,2015,CO,Denver
2015-03-08,0.0,10,2015,CO,Denver
2015-03-15,0.43,11,2015,CO,Denver
2015-03-22,0.06,12,2015,CO,Denver
2015-03-29,0.11571428571428573,13,2015,CO,Denver
2015-04-05,0.05285714285714286,14,2015,CO,Denver
2015-04-12,0.06999999999999999,15,2015,CO,Denver
2015-04-19,0.09714285714285716,16,2015,CO,Denver
2015-04-26,0.07428571428571429,17,2015,CO,Denver
2015-05-03,0.011428571428571429,18,2015,CO,Denver
2015-05-10,0.03428571428571429,19,2015,CO,Denver
2015-05-17,0.05,20,2015,CO,Denver
2015-05-24,0.0,21,2015,CO,Denver
2015-05-31,0.0,22,2015,CO,Denver
2015-06-07,0.02857142857142857,23,2015,CO,Denver
2015-06-14,0.0,24,2015,CO,Denver
2015-06-21,0.002857142857142857,25,2015,CO,Denver
2015-06-28,0.0014285714285714286,26,2015,CO,Denver
2015-07-05,0.0,27,2015,CO,Denver
2015-07-12,0.0,28,2015,CO,Denver
2015-07-19,0.0,29,2015,CO,Denver
2015-07-26,0.012857142857142857,30,2015,CO,Denver
2015-08-02,0.0,31,2015,CO,Denver
2015-08-09,0.0,32,2015,CO,Denver
2015-08-16,0.21428571428571427,33,2015,CO,Denver
2015-08-23,0.011428571428571429,34,2015,CO,Denver
2015-08-30,0.24285714285714288,35,2015,CO,Denver
2015-09-06,0.06142857142857144,36,2015,CO,Denver
2015-09-13,0.005714285714285714,37,2015,CO,Denver
2015-09-20,0.038571428571428576,38,2015,CO,Denver
2015-09-27,0.011428571428571429,39,2015,CO,Denver
2015-10-04,0.0,40,2015,CO,Denver
2015-10-11,0.21714285714285714,41,2015,CO,Denver
2015-10-18,0.055714285714285716,42,2015,CO,Denver
2015-10-25,0.05142857142857143,43,2015,CO,Denver
2015-11-01,0.4714285714285715,44,2015,CO,Denver
2015-11-08,0.12285714285714286,45,2015,CO,Denver
2015-11-15,0.6442857142857144,46,2015,CO,Denver
2015-11-22,0.19714285714285715,47,2015,CO,Denver
2015-11-29,0.05714285714285715,48,2015,CO,Denver
2015-12-06,0.31714285714285717,49,2015,CO,Denver
2015-12-13,0.6642857142857144,50,2015,CO,Denver
2015-12-20,0.2571428571428572,51,2015,CO,Denver
2015-12-27,0.31,52,2015,CO,Denver
2016-01-03,0.011428571428571429,53,2015,CO,Denver
2016-01-10,0.037142857142857144,1,2016,CO,Denver
2016-01-17,0.3157142857142858,2,2016,CO,Denver
2016-01-24,0.42857142857142855,3,2016,CO,Denver
2016-01-31,0.2814285714285714,4,2016,CO,Denver
2016-02-07,0.13285714285714287,5,2016,CO,Denver
2016-02-14,0.21857142857142858,6,2016,CO,Denver
2016-02-21,0.21428571428571425,7,2016,CO,Denver
2016-02-28,0.18714285714285714,8,2016,CO,Denver
2016-03-06,0.22428571428571423,9,2016,CO,Denver
2016-03-13,0.3528571428571428,10,2016,CO,Denver
2016-03-20,0.06285714285714286,11,2016,CO,Denver
2016-03-27,0.11571428571428573,12,2016,CO,Denver
2016-04-03,0.014285714285714287,13,2016,CO,Denver
2016-04-10,0.012857142857142857,14,2016,CO,Denver
2016-04-17,0.08142857142857143,15,2016,CO,Denver
2016-04-24,0.04428571428571428,16,2016,CO,Denver
2016-05-01,0.017142857142857144,17,2016,CO,Denver
2016-05-08,0.004285714285714286,18,2016,CO,Denver
2016-05-15,0.005714285714285714,19,2016,CO,Denver
2016-05-22,0.10571428571428572,20,2016,CO,Denver
2016-05-29,0.014285714285714287,21,2016,CO,Denver
2016-06-05,0.0071428571428571435,22,2016,CO,Denver
2016-06-12,0.045714285714285714,23,2016,CO,Denver
2016-06-19,0.022857142857142857,24,2016,CO,Denver
2016-06-26,0.11857142857142858,25,2016,CO,Denver
2016-07-03,0.0,26,2016,CO,Denver
2016-07-10,0.05142857142857143,27,2016,CO,Denver
2016-07-17,0.0,28,2016,CO,Denver
2016-07-24,0.04857142857142858,29,2016,CO,Denver
2016-07-31,0.0,30,2016,CO,Denver
2016-08-07,0.022857142857142857,31,2016,CO,Denver
2016-08-14,0.0,32,2016,CO,Denver
2016-08-21,0.0,33,2016,CO,Denver
2016-08-28,0.0,34,2016,CO,Denver
2016-09-04,0.032857142857142856,35,2016,CO,Denver
2016-09-11,0.07142857142857142,36,2016,CO,Denver
2016-09-18,0.03142857142857143,37,2016,CO,Denver
2016-09-25,0.012857142857142857,38,2016,CO,Denver
2016-10-02,0.01,39,2016,CO,Denver
2016-10-09,0.18,40,2016,CO,Denver
2016-10-16,0.6014285714285714,41,2016,CO,Denver
2016-10-23,0.2657142857142857,42,2016,CO,Denver
2016-10-30,0.26,43,2016,CO,Denver
2016-11-06,0.3957142857142858,44,2016,CO,Denver
2016-11-13,0.08857142857142856,45,2016,CO,Denver
2016-11-20,0.22428571428571428,46,2016,CO,Denver
2016-11-27,0.2814285714285715,47,2016,CO,Denver
2016-12-04,0.11000000000000001,48,2016,CO,Denver
2016-12-11,0.1285714285714286,49,2016,CO,Denver
2016-12-18,0.012857142857142857,50,2016,CO,Denver
2016-12-25,0.2571428571428572,51,2016,CO,Denver
2017-01-01,0.12428571428571426,52,2016,CO,Denver
2017-01-08,0.0642857142857143,1,2017,CO,Denver
2017-01-15,0.014285714285714287,2,2017,CO,Denver
2017-01-22,0.45285714285714285,3,2017,CO,Denver
2017-01-29,0.004285714285714286,4,2017,CO,Denver
2017-02-05,0.35571428571428576,5,2017,CO,Denver
2017-02-12,0.4271428571428571,6,2017,CO,Denver
2017-02-19,0.3685714285714285,7,2017,CO,Denver
2017-02-26,0.07285714285714286,8,2017,CO,Denver
2017-03-05,0.09428571428571429,9,2017,CO,Denver
2017-03-12,0.2857142857142857,10,2017,CO,Denver
2017-03-19,0.41000000000000003,11,2017,CO,Denver
2017-03-26,0.15857142857142856,12,2017,CO,Denver
2017-04-02,0.1285714285714286,13,2017,CO,Denver
2017-04-09,0.1357142857142857,14,2017,CO,Denver
2017-04-16,0.18714285714285714,15,2017,CO,Denver
2017-04-23,0.21000000000000002,16,2017,CO,Denver
2017-04-30,0.052857142857142866,17,2017,CO,Denver
2017-05-07,0.13857142857142857,18,2017,CO,Denver
2017-05-14,0.1,19,2017,CO,Denver
2017-05-21,0.06857142857142857,20,2017,CO,Denver
2017-05-28,0.0,21,2017,CO,Denver
2017-06-04,0.02,22,2017,CO,Denver
2017-06-11,0.055714285714285716,23,2017,CO,Denver
2017-06-18,0.15857142857142859,24,2017,CO,Denver
2017-06-25,0.0,25,2017,CO,Denver
2017-07-02,0.0,26,2017,CO,Denver
2017-07-09,0.0,27,2017,CO,Denver
2017-07-16,0.0,28,2017,CO,Denver
2017-07-23,0.0,29,2017,CO,Denver
2017-07-30,0.0,30,2017,CO,Denver
2017-08-06,0.0,31,2017,CO,Denver
2017-08-13,0.002857142857142857,32,2017,CO,Denver
2017-08-20,0.0,33,2017,CO,Denver
2017-08-27,0.0,34,2017,CO,Denver
2017-09-03,0.0,35,2017,CO,Denver
2017-09-10,0.0,36,2017,CO,Denver
2017-09-17,0.02142857142857143,37,2017,CO,Denver
2017-09-24,0.05,38,2017,CO,Denver
2017-10-01,0.012857142857142857,39,2017,CO,Denver
2017-10-08,0.004285714285714286,40,2017,CO,Denver
2017-10-15,0.07857142857142858,41,2017,CO,Denver
2017-10-22,0.6014285714285714,42,2017,CO,Denver
2017-10-29,0.0014285714285714286,43,2017,CO,Denver
2017-11-05,0.21857142857142858,44,2017,CO,Denver
2017-11-12,0.16428571428571428,45,2017,CO,Denver
2017-11-19,0.2942857142857143,46,2017,CO,Denver
2017-11-26,0.42,47,2017,CO,Denver
2017-12-03,0.2942857142857143,48,2017,CO,Denver
2017-12-10,0.0,49,2017,CO,Denver
2017-12-17,0.03142857142857143,50,2017,CO,Denver
2017-12-24,0.2914285714285714,51,2017,CO,Denver
2017-12-31,0.2914285714285714,52,2017,CO,Denver
2018-01-07,0.16285714285714287,1,2018,CO,Denver
2018-01-14,0.22428571428571434,2,2018,CO,Denver
2018-01-21,0.18571428571428575,3,2018,CO,Denver
2018-01-28,0.40714285714285714,4,2018,CO,Denver
2018-02-04,0.2700000000000001,5,2018,CO,Denver
2018-02-11,0.018571428571428572,6,2018,CO,Denver
2018-02-18,0.10285714285714286,7,2018,CO,Denver
2018-02-25,0.04428571428571428,8,2018,CO,Denver
2018-03-04,0.06714285714285714,9,2018,CO,Denver
2018-03-11,0.05571428571428571,10,2018,CO,Denver
2018-03-18,0.042857142857142864,11,2018,CO,Denver
2018-03-25,0.1685714285714286,12,2018,CO,Denver
2018-04-01,0.032857142857142856,13,2018,CO,Denver
2018-04-08,0.25142857142857145,14,2018,CO,Denver
2018-04-15,0.42,15,2018,CO,Denver
2018-04-22,0.09571428571428572,16,2018,CO,Denver
2018-04-29,0.045714285714285714,17,2018,CO,Denver
2018-05-06,0.0014285714285714286,18,2018,CO,Denver
2018-05-13,0.01,19,2018,CO,Denver
2018-05-20,0.002857142857142857,20,2018,CO,Denver
2018-05-27,0.0,21,2018,CO,Denver
2018-06-03,0.0014285714285714286,22,2018,CO,Denver
2018-06-10,0.05714285714285714,23,2018,CO,Denver
2018-06-17,0.002857142857142857,24,2018,CO,Denver
2018-06-24,0.01,25,2018,CO,Denver
2018-07-01,0.02428571428571429,26,2018,CO,Denver
2018-07-08,0.0014285714285714286,27,2018,CO,Denver
2018-07-15,0.0,28,2018,CO,Denver
2018-07-22,0.0,29,2018,CO,Denver
2018-07-29,0.0,30,2018,CO,Denver
2018-08-05,0.004285714285714286,31,2018,CO,Denver
2018-08-12,0.0071428571428571435,32,2018,CO,Denver
2018-08-19,0.0,33,2018,CO,Denver
2018-08-26,0.017142857142857144,34,2018,CO,Denver
2018-09-02,0.0,35,2018,CO,Denver
2018-09-09,0.028571428571428574,36,2018,CO,Denver
2018-09-16,0.09,37,2018,CO,Denver
2018-09-23,0.021428571428571432,38,2018,CO,Denver
2018-09-30,0.008571428571428572,39,2018,CO,Denver
2018-10-07,0.1285714285714286,40,2018,CO,Denver
2018-10-14,0.027142857142857142,41,2018,CO,Denver
2018-10-21,0.0,42,2018,CO,Denver
2018-10-28,0.3742857142857143,43,2018,CO,Denver
2018-11-04,0.08857142857142859,44,2018,CO,Denver
2018-11-11,0.022857142857142857,45,2018,CO,Denver
2018-11-18,0.022857142857142857,46,2018,CO,Denver
2018-11-25,0.13428571428571429,47,2018,CO,Denver
2018-12-02,0.5328571428571428,48,2018,CO,Denver
2018-12-09,0.08428571428571428,49,2018,CO,Denver
2018-12-16,0.22571428571428573,50,2018,CO,Denver
2018-12-23,0.36428571428571427,51,2018,CO,Denver
2018-12-30,0.1757142857142857,52,2018,CO,Denver
2019-01-06,0.18571428571428572,1,2019,CO,Denver
2019-01-13,0.08714285714285715,2,2019,CO,Denver
2019-01-20,0.07714285714285714,3,2019,CO,Denver
2019-01-27,0.18714285714285714,4,2019,CO,Denver
2019-02-03,0.11285714285714286,5,2019,CO,Denver
2019-02-10,0.12285714285714287,6,2019,CO,Denver
2019-02-17,0.33428571428571424,7,2019,CO,Denver
2019-02-24,0.07714285714285715,8,2019,CO,Denver
2019-03-03,0.0,9,2019,CO,Denver
2019-03-10,0.05571428571428571,10,2019,CO,Denver
2019-03-17,0.11,11,2019,CO,Denver
2019-03-24,0.0014285714285714286,12,2019,CO,Denver
2019-03-31,0.028571428571428574,13,2019,CO,Denver
2019-04-07,0.13571428571428573,14,2019,CO,Denver
2019-04-14,0.25857142857142856,15,2019,CO,Denver
2019-04-21,0.07142857142857142,16,2019,CO,Denver
2019-04-28,0.038571428571428576,17,2019,CO,Denver
2019-05-05,0.0,18,2019,CO,Denver
2019-05-12,0.0,19,2019,CO,Denver
2019-05-19,0.051428571428571435,20,2019,CO,Denver
2019-05-26,0.037142857142857144,21,2019,CO,Denver
2019-06-02,0.0,22,2019,CO,Denver
2019-06-09,0.015714285714285715,23,2019,CO,Denver
2019-06-16,0.0,24,2019,CO,Denver
2019-06-23,0.09999999999999999,25,2019,CO,Denver
2019-06-30,0.012857142857142857,26,2019,CO,Denver
2019-07-07,0.06142857142857143,27,2019,CO,Denver
2019-07-14,0.048571428571428564,28,2019,CO,Denver
2019-07-21,0.054285714285714284,29,2019,CO,Denver
2019-07-28,0.0,30,2019,CO,Denver
2019-08-04,0.05285714285714286,31,2019,CO,Denver
2019-08-11,0.054285714285714284,32,2019,CO,Denver
2019-08-18,0.0,33,2019,CO,Denver
2019-08-25,0.054285714285714284,34,2019,CO,Denver
2019-09-01,0.009999999999999998,35,2019,CO,Denver
2019-09-08,0.09,36,2019,CO,Denver
2019-09-15,0.1457142857142857,37,2019,CO,Denver
2019-09-22,0.15857142857142859,38,2019,CO,Denver
2019-09-29,0.08,39,2019,CO,Denver
2019-10-06,0.0071428571428571435,40,2019,CO,Denver
2019-10-13,0.03142857142857143,41,2019,CO,Denver
2019-10-20,0.3628571428571429,42,2019,CO,Denver
2019-10-27,0.11714285714285715,43,2019,CO,Denver
2019-11-03,0.0,44,2019,CO,Denver
2019-11-10,0.045714285714285714,45,2019,CO,Denver
2019-11-17,0.07714285714285715,46,2019,CO,Denver
2019-11-24,0.10857142857142857,47,2019,CO,Denver
2019-12-01,0.015714285714285715,48,2019,CO,Denver
2019-12-08,0.049999999999999996,49,2019,CO,Denver
2019-12-15,0.15571428571428572,50,2019,CO,Denver
2019-12-22,0.83,51,2019,CO,Denver
2019-12-29,0.05142857142857143,52,2019,CO,Denver
2020-01-05,0.16285714285714287,1,2020,CO,Denver
2020-01-12,0.33285714285714285,2,2020,CO,Denver
2020-01-19,0.07142857142857142,3,2020,CO,Denver
2020-01-26,0.3871428571428572,4,2020,CO,Denver
2020-02-02,0.5714285714285714,5,2020,CO,Denver
2020-02-09,0.29142857142857137,6,2020,CO,Denver
2020-02-16,0.045714285714285714,7,2020,CO,Denver
2020-02-23,0.03571428571428571,8,2020,CO,Denver
2020-03-01,0.037142857142857144,9,2020,CO,Denver
2020-03-08,0.12571428571428572,10,2020,CO,Denver
2020-03-15,0.0642857142857143,11,2020,CO,Denver
2020-03-22,0.0,12,2020,CO,Denver
2020-03-29,0.16285714285714287,13,2020,CO,Denver
2020-04-05,0.07857142857142858,14,2020,CO,Denver
2020-04-12,0.0,15,2020,CO,Denver
2020-04-19,0.0071428571428571435,16,2020,CO,Denver
2020-04-26,0.21000000000000002,17,2020,CO,Denver
2020-05-03,0.06714285714285714,18,2020,CO,Denver
2020-05-10,0.015714285714285715,19,2020,CO,Denver
2020-05-17,0.12000000000000001,20,2020,CO,Denver
2020-05-24,0.06285714285714286,21,2020,CO,Denver
2020-05-31,0.20428571428571432,22,2020,CO,Denver
2020-06-07,0.004285714285714286,23,2020,CO,Denver
2020-06-14,0.14,24,2020,CO,Denver
2020-06-21,0.06333333333333334,25,2020,CO,Denver
2009-01-04,0.0,1,2009,TX,Dallas
2009-01-11,0.07428571428571429,2,2009,TX,Dallas
2009-01-18,0.0,3,2009,TX,Dallas
2009-01-25,0.0,4,2009,TX,Dallas
2009-02-01,0.04285714285714286,5,2009,TX,Dallas
2009-02-08,0.0,6,2009,TX,Dallas
2009-02-15,0.10285714285714286,7,2009,TX,Dallas
2009-02-22,0.0014285714285714286,8,2009,TX,Dallas
2009-03-01,0.0014285714285714286,9,2009,TX,Dallas
2009-03-08,0.0014285714285714286,10,2009,TX,Dallas
2009-03-15,0.6114285714285714,11,2009,TX,Dallas
2009-03-22,0.0,12,2009,TX,Dallas
2009-03-29,0.07714285714285715,13,2009,TX,Dallas
2009-04-05,0.08714285714285715,14,2009,TX,Dallas
2009-04-12,0.14285714285714285,15,2009,TX,Dallas
2009-04-19,0.10285714285714286,16,2009,TX,Dallas
2009-04-26,0.0,17,2009,TX,Dallas
2009-05-03,0.4828571428571428,18,2009,TX,Dallas
2009-05-10,0.008571428571428572,19,2009,TX,Dallas
2009-05-17,0.1642857142857143,20,2009,TX,Dallas
2009-05-24,0.0,21,2009,TX,Dallas
2009-05-31,0.038571428571428576,22,2009,TX,Dallas
2009-06-07,0.05142857142857143,23,2009,TX,Dallas
2009-06-14,0.5542857142857144,24,2009,TX,Dallas
2009-06-21,0.0,25,2009,TX,Dallas
2009-06-28,0.0,26,2009,TX,Dallas
2009-07-05,0.01,27,2009,TX,Dallas
2009-07-12,0.0,28,2009,TX,Dallas
2009-07-19,0.0014285714285714286,29,2009,TX,Dallas
2009-07-26,0.014285714285714285,30,2009,TX,Dallas
2009-08-02,0.3457142857142857,31,2009,TX,Dallas
2009-08-09,0.002857142857142857,32,2009,TX,Dallas
2009-08-16,0.0,33,2009,TX,Dallas
2009-08-23,0.14142857142857143,34,2009,TX,Dallas
2009-08-30,0.0,35,2009,TX,Dallas
2009-09-06,0.025714285714285714,36,2009,TX,Dallas
2009-09-13,0.35285714285714287,37,2009,TX,Dallas
2009-09-20,0.09428571428571429,38,2009,TX,Dallas
2009-09-27,0.08714285714285715,39,2009,TX,Dallas
2009-10-04,0.20142857142857146,40,2009,TX,Dallas
2009-10-11,0.3285714285714286,41,2009,TX,Dallas
2009-10-18,0.04142857142857143,42,2009,TX,Dallas
2009-10-25,0.4471428571428571,43,2009,TX,Dallas
2009-11-01,0.12714285714285717,44,2009,TX,Dallas
2009-11-08,0.0,45,2009,TX,Dallas
2009-11-15,0.04428571428571428,46,2009,TX,Dallas
2009-11-22,0.19142857142857145,47,2009,TX,Dallas
2009-11-29,0.017142857142857144,48,2009,TX,Dallas
2009-12-06,0.14285714285714285,49,2009,TX,Dallas
2009-12-13,0.011428571428571429,50,2009,TX,Dallas
2009-12-20,0.0,51,2009,TX,Dallas
2009-12-27,0.06,52,2009,TX,Dallas
2010-01-03,0.05142857142857143,53,2009,TX,Dallas
2010-01-10,0.008571428571428572,1,2010,TX,Dallas
2010-01-17,0.025714285714285714,2,2010,TX,Dallas
2010-01-24,0.018571428571428572,3,2010,TX,Dallas
2010-01-31,0.31142857142857144,4,2010,TX,Dallas
2010-02-07,0.06285714285714286,5,2010,TX,Dallas
2010-02-14,0.31714285714285717,6,2010,TX,Dallas
2010-02-21,0.03,7,2010,TX,Dallas
2010-02-28,0.0,8,2010,TX,Dallas
2010-03-07,0.15714285714285717,9,2010,TX,Dallas
2010-03-14,0.08857142857142856,10,2010,TX,Dallas
2010-03-21,0.15714285714285717,11,2010,TX,Dallas
2010-03-28,0.09,12,2010,TX,Dallas
2010-04-04,0.012857142857142857,13,2010,TX,Dallas
2010-04-11,0.0,14,2010,TX,Dallas
2010-04-18,0.21714285714285714,15,2010,TX,Dallas
2010-04-25,0.05857142857142857,16,2010,TX,Dallas
2010-05-02,0.0,17,2010,TX,Dallas
2010-05-09,0.03428571428571429,18,2010,TX,Dallas
2010-05-16,0.08571428571428572,19,2010,TX,Dallas
2010-05-23,0.002857142857142857,20,2010,TX,Dallas
2010-05-30,0.032857142857142856,21,2010,TX,Dallas
2010-06-06,0.0,22,2010,TX,Dallas
2010-06-13,0.022857142857142857,23,2010,TX,Dallas
2010-06-20,0.0,24,2010,TX,Dallas
2010-06-27,0.11285714285714286,25,2010,TX,Dallas
2010-07-04,0.4328571428571429,26,2010,TX,Dallas
2010-07-11,0.18142857142857144,27,2010,TX,Dallas
2010-07-18,0.0,28,2010,TX,Dallas
2010-07-25,0.02142857142857143,29,2010,TX,Dallas
2010-08-01,0.0014285714285714286,30,2010,TX,Dallas
2010-08-08,0.0,31,2010,TX,Dallas
2010-08-15,0.03,32,2010,TX,Dallas
2010-08-22,0.008571428571428572,33,2010,TX,Dallas
2010-08-29,0.02,34,2010,TX,Dallas
2010-09-05,0.2785714285714286,35,2010,TX,Dallas
2010-09-12,0.65,36,2010,TX,Dallas
2010-09-19,0.0014285714285714286,37,2010,TX,Dallas
2010-09-26,0.12571428571428572,38,2010,TX,Dallas
2010-10-03,0.0,39,2010,TX,Dallas
2010-10-10,0.0,40,2010,TX,Dallas
2010-10-17,0.002857142857142857,41,2010,TX,Dallas
2010-10-24,0.16714285714285712,42,2010,TX,Dallas
2010-10-31,0.0,43,2010,TX,Dallas
2010-11-07,0.1757142857142857,44,2010,TX,Dallas
2010-11-14,0.005714285714285714,45,2010,TX,Dallas
2010-11-21,0.008571428571428572,46,2010,TX,Dallas
2010-11-28,0.0014285714285714286,47,2010,TX,Dallas
2010-12-05,0.0071428571428571435,48,2010,TX,Dallas
2010-12-12,0.0,49,2010,TX,Dallas
2010-12-19,0.0,50,2010,TX,Dallas
2010-12-26,0.14142857142857143,51,2010,TX,Dallas
2011-01-02,0.15714285714285717,52,2010,TX,Dallas
2011-01-09,0.18142857142857144,1,2011,TX,Dallas
2011-01-16,0.03,2,2011,TX,Dallas
2011-01-23,0.004285714285714286,3,2011,TX,Dallas
2011-01-30,0.0,4,2011,TX,Dallas
2011-02-06,0.11571428571428573,5,2011,TX,Dallas
2011-02-13,0.022857142857142857,6,2011,TX,Dallas
2011-02-20,0.0,7,2011,TX,Dallas
