Daily Observed Min/Max Temperature & Precipitation,,,,
,DallasFtWorth TX - KDFW,,,
16-Mar-11,52,75,63.5,-
17-Mar-11,65,83,74,-
18-Mar-11,65,85,75,-
19-Mar-11,65,83,74,-
20-Mar-11,63,81,72,-
21-Mar-11,64,82,73,-
22-Mar-11,65,82,73.5,-
23-Mar-11,55,80,67.5,-
24-Mar-11,51,78,64.5,-
25-Mar-11,62,85,73.5,-
26-Mar-11,49,85,67,-
27-Mar-11,47,51,49,-
28-Mar-11,48,60,54,-
29-Mar-11,46,55,50.5,0.06
30-Mar-11,40,55,47.5,-
31-Mar-11,40,78,59,-
1-Apr-11,48,89,68.5,-
2-Apr-11,55,85,70,-
3-Apr-11,68,86,77,-
4-Apr-11,43,76,59.5,1.14
5-Apr-11,38,72,55,-
6-Apr-11,54,82,68,-
7-Apr-11,64,81,72.5,-
8-Apr-11,69,89,79,-
9-Apr-11,69,89,79,-
10-Apr-11,69,88,78.5,-
11-Apr-11,58,77,67.5,0.69
12-Apr-11,49,78,63.5,-
13-Apr-11,54,80,67,-
14-Apr-11,64,84,74,0.01
15-Apr-11,57,74,65.5,-
16-Apr-11,50,75,62.5,-
17-Apr-11,52,83,67.5,-
18-Apr-11,69,91,80,-
19-Apr-11,70,91,80.5,0.05
20-Apr-11,60,70,65,-
21-Apr-11,59,86,72.5,-
22-Apr-11,73,90,81.5,-
23-Apr-11,73,89,81,0.02
24-Apr-11,66,88,77,0.09
25-Apr-11,66,84,75,0.43
26-Apr-11,57,72,64.5,-
27-Apr-11,53,70,61.5,-
28-Apr-11,47,78,62.5,-
29-Apr-11,55,85,70,-
30-Apr-11,68,87,77.5,-
1-May-11,47,72,59.5,0.64
2-May-11,46,53,49.5,2.13
3-May-11,42,70,56,-
4-May-11,48,75,61.5,-
5-May-11,55,78,66.5,-
6-May-11,53,85,69,-
7-May-11,65,90,77.5,-
8-May-11,70,91,80.5,-
9-May-11,73,92,82.5,-
10-May-11,68,86,77,0.09
11-May-11,64,81,72.5,1.1
12-May-11,61,82,71.5,-
13-May-11,59,76,67.5,-
14-May-11,52,71,61.5,-
15-May-11,52,74,63,-
16-May-11,53,74,63.5,-
17-May-11,54,82,68,-
18-May-11,67,87,77,-
19-May-11,72,82,77,-
20-May-11,63,86,74.5,1.13
21-May-11,60,88,74,-
22-May-11,66,91,78.5,0.96
23-May-11,69,87,78,0.91
24-May-11,73,91,82,1.22
25-May-11,71,92,81.5,-
26-May-11,60,82,71,-
27-May-11,65,95,80,-
28-May-11,75,97,86,-
29-May-11,74,94,84,-
30-May-11,76,93,84.5,-
31-May-11,74,93,83.5,-
1-Jun-11,76,94,85,-
2-Jun-11,71,96,83.5,-
3-Jun-11,73,97,85,-
4-Jun-11,71,96,83.5,-
5-Jun-11,75,99,87,-
6-Jun-11,72,99,85.5,-
7-Jun-11,72,97,84.5,-
8-Jun-11,76,95,85.5,-
9-Jun-11,76,95,85.5,-
10-Jun-11,77,95,86,-
11-Jun-11,76,96,86,-
12-Jun-11,77,97,87,-
13-Jun-11,78,100,89,-
14-Jun-11,78,101,89.5,-
15-Jun-11,78,100,89,-
16-Jun-11,78,100,89,-
17-Jun-11,80,102,91,-
18-Jun-11,79,104,91.5,-
19-Jun-11,81,102,91.5,-
20-Jun-11,78,99,88.5,-
21-Jun-11,66,96,81,0.64
22-Jun-11,71,91,81,-
23-Jun-11,71,96,83.5,-
24-Jun-11,75,95,85,-
25-Jun-11,78,95,86.5,-
26-Jun-11,77,97,87,-
27-Jun-11,79,99,89,-
28-Jun-11,81,99,90,-
29-Jun-11,78,98,88,-
30-Jun-11,78,99,88.5,-
1-Jul-11,75,98,86.5,-
2-Jul-11,76,101,88.5,-
3-Jul-11,77,101,89,-
4-Jul-11,78,100,89,-
5-Jul-11,79,102,90.5,-
6-Jul-11,77,102,89.5,-
7-Jul-11,80,102,91,-
8-Jul-11,83,105,94,-
9-Jul-11,84,101,92.5,-
10-Jul-11,82,100,91,-
11-Jul-11,80,100,90,-
12-Jul-11,83,100,91.5,-
13-Jul-11,83,103,93,-
14-Jul-11,84,103,93.5,-
15-Jul-11,82,107,94.5,-
16-Jul-11,80,101,90.5,0.09
17-Jul-11,80,101,90.5,-
18-Jul-11,82,101,91.5,-
19-Jul-11,80,101,90.5,-
20-Jul-11,79,100,89.5,-
21-Jul-11,83,102,92.5,-
22-Jul-11,82,101,91.5,-
23-Jul-11,81,102,91.5,-
24-Jul-11,82,104,93,-
25-Jul-11,85,106,95.5,-
26-Jul-11,86,102,94,-
27-Jul-11,83,104,93.5,-
28-Jul-11,81,101,91,-
29-Jul-11,82,101,91.5,-
30-Jul-11,79,100,89.5,-
31-Jul-11,84,103,93.5,-
1-Aug-11,82,107,94.5,-
2-Aug-11,83,110,96.5,-
3-Aug-11,86,109,97.5,-
4-Aug-11,86,108,97,-
5-Aug-11,83,107,95,-
6-Aug-11,84,105,94.5,-
7-Aug-11,85,104,94.5,-
8-Aug-11,84,105,94.5,-
9-Aug-11,84,107,95.5,-
10-Aug-11,83,104,93.5,-
11-Aug-11,83,97,90,-
12-Aug-11,81,103,92,-
13-Aug-11,75,89,82,0.86
14-Aug-11,76,99,87.5,-
15-Aug-11,79,103,91,-
16-Aug-11,86,104,95,-
17-Aug-11,85,104,94.5,-
18-Aug-11,81,106,93.5,-
19-Aug-11,81,107,94,-
20-Aug-11,85,107,96,-
21-Aug-11,84,102,93,-
22-Aug-11,85,104,94.5,-
23-Aug-11,83,104,93.5,-
24-Aug-11,82,106,94,-
25-Aug-11,77,103,90,-
26-Aug-11,81,106,93.5,-
27-Aug-11,80,106,93,-
28-Aug-11,84,107,95.5,-
29-Aug-11,80,102,91,0.01
30-Aug-11,83,103,93,0.02
31-Aug-11,85,104,94.5,-
1-Sep-11,80,101,90.5,-
2-Sep-11,83,101,92,-
3-Sep-11,78,100,89,-
4-Sep-11,75,96,85.5,-
5-Sep-11,67,85,76,-
6-Sep-11,58,88,73,-
7-Sep-11,61,90,75.5,-
8-Sep-11,66,88,77,-
9-Sep-11,65,90,77.5,-
10-Sep-11,60,93,76.5,-
11-Sep-11,64,96,80,-
12-Sep-11,69,103,86,-
13-Sep-11,75,107,91,-
14-Sep-11,75,97,86,-
15-Sep-11,65,78,71.5,-
16-Sep-11,68,91,79.5,0.61
17-Sep-11,68,91,79.5,-
18-Sep-11,72,94,83,-
19-Sep-11,66,88,77,-
20-Sep-11,62,90,76,-
21-Sep-11,67,93,80,-
22-Sep-11,63,79,71,-
23-Sep-11,57,83,70,-
24-Sep-11,60,96,78,-
25-Sep-11,72,93,82.5,-
26-Sep-11,61,90,75.5,-
27-Sep-11,69,93,81,-
28-Sep-11,69,96,82.5,-
29-Sep-11,69,101,85,0.01
30-Sep-11,64,83,73.5,-
1-Oct-11,55,83,69,-
2-Oct-11,57,84,70.5,-
3-Oct-11,56,87,71.5,-
4-Oct-11,56,86,71,-
5-Oct-11,59,87,73,-
6-Oct-11,63,88,75.5,-
7-Oct-11,73,90,81.5,-
8-Oct-11,66,87,76.5,0.06
9-Oct-11,62,73,67.5,1.33
10-Oct-11,62,76,69,-
11-Oct-11,63,84,73.5,-
12-Oct-11,62,84,73,0.9
13-Oct-11,59,80,69.5,-
14-Oct-11,55,86,70.5,-
15-Oct-11,59,88,73.5,-
16-Oct-11,61,87,74,-
17-Oct-11,62,88,75,0.31
18-Oct-11,54,68,61,-
19-Oct-11,49,70,59.5,-
20-Oct-11,43,72,57.5,-
21-Oct-11,50,82,66,-
22-Oct-11,62,84,73,-
23-Oct-11,61,75,68,0.34
24-Oct-11,54,80,67,-
25-Oct-11,64,85,74.5,-
26-Oct-11,61,84,72.5,-
27-Oct-11,48,61,54.5,0.14
28-Oct-11,45,62,53.5,-
29-Oct-11,39,66,52.5,-
30-Oct-11,45,71,58,-
31-Oct-11,46,77,61.5,-
1-Nov-11,57,77,67,-
2-Nov-11,47,78,62.5,0.01
3-Nov-11,41,58,49.5,-
4-Nov-11,34,64,49,-
5-Nov-11,43,71,57,-
6-Nov-11,65,78,71.5,-
7-Nov-11,68,79,73.5,0.18
8-Nov-11,53,75,64,0.04
9-Nov-11,44,63,53.5,-
10-Nov-11,39,65,52,-
11-Nov-11,38,69,53.5,-
12-Nov-11,52,76,64,-
13-Nov-11,59,84,71.5,-
14-Nov-11,69,82,75.5,-
15-Nov-11,62,82,72,0.07
16-Nov-11,46,65,55.5,-
17-Nov-11,35,57,46,-
18-Nov-11,43,65,54,-
19-Nov-11,63,78,70.5,-
20-Nov-11,49,76,62.5,0.01
21-Nov-11,47,56,51.5,0.48
22-Nov-11,45,62,53.5,0.01
23-Nov-11,43,68,55.5,-
24-Nov-11,42,58,50,-
25-Nov-11,51,72,61.5,-
26-Nov-11,49,66,57.5,0.06
27-Nov-11,37,51,44,-
28-Nov-11,31,57,44,-
29-Nov-11,36,60,48,-
30-Nov-11,36,59,47.5,-
1-Dec-11,39,67,53,-
2-Dec-11,45,60,52.5,0.06
3-Dec-11,53,65,59,0.73
4-Dec-11,41,53,47,1.51
5-Dec-11,34,42,38,0.67
6-Dec-11,29,38,33.5,-
7-Dec-11,22,46,34,-
8-Dec-11,28,55,41.5,-
9-Dec-11,33,49,41,-
10-Dec-11,33,53,43,-
11-Dec-11,36,53,44.5,-
12-Dec-11,45,54,49.5,0.01
13-Dec-11,50,64,57,0.01
14-Dec-11,61,69,65,0.33
15-Dec-11,43,63,53,0.44
16-Dec-11,37,53,45,0.03
17-Dec-11,33,59,46,-
18-Dec-11,40,58,49,-
19-Dec-11,50,64,57,0.55
20-Dec-11,41,51,46,-
21-Dec-11,34,55,44.5,-
22-Dec-11,40,60,50,-
23-Dec-11,38,44,41,-
24-Dec-11,39,43,41,0.01
25-Dec-11,41,50,45.5,-
26-Dec-11,40,48,44,-
27-Dec-11,35,60,47.5,-
28-Dec-11,32,61,46.5,-
29-Dec-11,34,67,50.5,-
30-Dec-11,41,67,54,-
31-Dec-11,37,74,55.5,-
1-Jan-12,41,60,50.5,-
2-Jan-12,32,54,43,-
3-Jan-12,28,59,43.5,-
4-Jan-12,37,61,49,-
5-Jan-12,33,67,50,-
6-Jan-12,45,73,59,-
7-Jan-12,45,60,52.5,-
8-Jan-12,40,57,48.5,0.07
9-Jan-12,43,49,46,1.32
10-Jan-12,42,48,45,0.38
11-Jan-12,34,66,50,-
12-Jan-12,30,42,36,-
13-Jan-12,26,57,41.5,-
14-Jan-12,32,66,49,-
15-Jan-12,37,65,51,-
16-Jan-12,59,72,65.5,-
17-Jan-12,37,65,51,-
18-Jan-12,29,54,41.5,-
19-Jan-12,37,73,55,-
20-Jan-12,45,77,61,-
21-Jan-12,36,51,43.5,-
22-Jan-12,39,79,59,-
23-Jan-12,40,62,51,-
24-Jan-12,42,68,55,1.49
25-Jan-12,48,51,49.5,2.8
26-Jan-12,45,60,52.5,0.14
27-Jan-12,35,67,51,-
28-Jan-12,39,52,45.5,-
29-Jan-12,30,61,45.5,-
30-Jan-12,41,67,54,-
31-Jan-12,58,76,67,-
1-Feb-12,51,72,61.5,-
2-Feb-12,46,75,60.5,0.02
3-Feb-12,54,74,64,0.03
4-Feb-12,44,56,50,-
5-Feb-12,38,48,43,-
6-Feb-12,33,54,43.5,-
7-Feb-12,46,60,53,-
8-Feb-12,38,46,42,-
9-Feb-12,35,57,46,0.04
10-Feb-12,35,58,46.5,0.08
11-Feb-12,28,38,33,-
12-Feb-12,25,42,33.5,0.05
13-Feb-12,34,47,40.5,0.2
14-Feb-12,45,65,55,-
15-Feb-12,53,76,64.5,0.04
16-Feb-12,42,56,49,-
17-Feb-12,46,63,54.5,-
18-Feb-12,46,53,49.5,1.41
19-Feb-12,38,54,46,-
20-Feb-12,42,63,52.5,-
21-Feb-12,35,69,52,-
22-Feb-12,55,79,67,-
23-Feb-12,52,82,67,-
24-Feb-12,44,60,52,-
25-Feb-12,35,64,49.5,-
26-Feb-12,40,65,52.5,-
27-Feb-12,53,71,62,-
28-Feb-12,59,73,66,-
29-Feb-12,54,77,65.5,-
1-Mar-12,47,80,63.5,-
2-Mar-12,51,69,60,-
3-Mar-12,41,62,51.5,-
4-Mar-12,35,74,54.5,-
5-Mar-12,43,77,60,-
6-Mar-12,53,72,62.5,-
7-Mar-12,64,70,67,0.01
8-Mar-12,43,72,57.5,0.13
9-Mar-12,40,54,47,-
10-Mar-12,47,53,50,1.16
11-Mar-12,50,64,57,0.17
12-Mar-12,53,80,66.5,-
13-Mar-12,62,76,69,-
14-Mar-12,67,76,71.5,-
15-Mar-12,66,79,72.5,-
16-Mar-12,67,79,73,-
17-Mar-12,65,78,71.5,-
18-Mar-12,68,75,71.5,-
19-Mar-12,57,78,67.5,1.3
20-Mar-12,52,64,58,3.05
21-Mar-12,50,64,57,0.01
22-Mar-12,47,72,59.5,0.23
23-Mar-12,46,75,60.5,-
24-Mar-12,50,81,65.5,-
25-Mar-12,59,86,72.5,-
26-Mar-12,58,82,70,-
27-Mar-12,59,78,68.5,-
28-Mar-12,63,78,70.5,-
29-Mar-12,59,79,69,-
30-Mar-12,67,82,74.5,-
31-Mar-12,64,83,73.5,-
1-Apr-12,68,85,76.5,-
2-Apr-12,68,84,76,-
3-Apr-12,60,77,68.5,1.43
4-Apr-12,57,75,66,-
5-Apr-12,55,76,65.5,-
6-Apr-12,54,79,66.5,-
7-Apr-12,59,82,70.5,-
8-Apr-12,60,71,65.5,2.23
9-Apr-12,59,73,66,-
10-Apr-12,62,83,72.5,-
11-Apr-12,61,82,71.5,-
12-Apr-12,62,79,70.5,-
13-Apr-12,65,80,72.5,-
14-Apr-12,72,81,76.5,-
15-Apr-12,58,77,67.5,0.5
16-Apr-12,54,74,64,-
17-Apr-12,51,79,65,-
18-Apr-12,53,80,66.5,-
19-Apr-12,57,83,70,-
20-Apr-12,56,70,63,0.08
21-Apr-12,46,75,60.5,-
22-Apr-12,52,82,67,-
23-Apr-12,52,75,63.5,-
24-Apr-12,53,86,69.5,-
25-Apr-12,65,89,77,-
26-Apr-12,70,88,79,-
27-Apr-12,68,89,78.5,-
28-Apr-12,69,87,78,-
29-Apr-12,68,86,77,-
30-Apr-12,72,85,78.5,-
1-May-12,71,88,79.5,-
2-May-12,71,85,78,-
3-May-12,71,91,81,-
4-May-12,73,93,83,-
5-May-12,67,92,79.5,-
6-May-12,74,90,82,-
7-May-12,70,88,79,-
8-May-12,67,72,69.5,-
9-May-12,61,83,72,-
10-May-12,60,82,71,-
11-May-12,64,76,70,0.68
12-May-12,64,73,68.5,0.11
13-May-12,62,83,72.5,-
14-May-12,62,83,72.5,-
15-May-12,64,85,74.5,-
16-May-12,60,89,74.5,-
17-May-12,63,89,76,-
18-May-12,66,89,77.5,-
19-May-12,69,89,79,-
20-May-12,69,89,79,-
21-May-12,67,90,78.5,-
22-May-12,68,92,80,-
23-May-12,73,92,82.5,-
24-May-12,75,95,85,-
25-May-12,74,95,84.5,-
26-May-12,75,93,84,-
27-May-12,72,93,82.5,-
28-May-12,70,95,82.5,0.37
29-May-12,67,96,81.5,-
30-May-12,67,93,80,0.23
31-May-12,67,84,75.5,0.22
1-Jun-12,61,86,73.5,-
2-Jun-12,72,96,84,-
3-Jun-12,76,96,86,-
4-Jun-12,75,94,84.5,-
5-Jun-12,75,97,86,-
6-Jun-12,69,95,82,1.51
7-Jun-12,67,76,71.5,0.1
8-Jun-12,70,87,78.5,-
9-Jun-12,69,91,80,-
10-Jun-12,75,93,84,-
11-Jun-12,78,98,88,-
12-Jun-12,70,91,80.5,-
13-Jun-12,70,91,80.5,0.7
14-Jun-12,77,94,85.5,-
15-Jun-12,69,92,80.5,0.33
16-Jun-12,74,93,83.5,-
17-Jun-12,73,91,82,-
18-Jun-12,76,92,84,-
19-Jun-12,75,93,84,-
20-Jun-12,76,93,84.5,-
21-Jun-12,74,94,84,-
22-Jun-12,74,97,85.5,-
23-Jun-12,77,97,87,-
24-Jun-12,75,100,87.5,-
25-Jun-12,77,104,90.5,-
26-Jun-12,77,106,91.5,-
27-Jun-12,83,102,92.5,-
28-Jun-12,80,100,90,-
29-Jun-12,79,97,88,-
30-Jun-12,77,96,86.5,-
1-Jul-12,75,95,85,0.05
2-Jul-12,78,93,85.5,-
3-Jul-12,77,97,87,-
4-Jul-12,77,98,87.5,-
5-Jul-12,77,98,87.5,-
6-Jul-12,77,99,88,-
7-Jul-12,74,101,87.5,-
8-Jul-12,74,97,85.5,-
9-Jul-12,77,97,87,-
10-Jul-12,75,93,84,0.02
11-Jul-12,73,96,84.5,-
12-Jul-12,75,95,85,-
13-Jul-12,74,96,85,-
14-Jul-12,76,96,86,-
15-Jul-12,73,91,82,-
16-Jul-12,71,96,83.5,-
17-Jul-12,77,98,87.5,-
18-Jul-12,76,99,87.5,-
19-Jul-12,79,101,90,-
20-Jul-12,77,105,91,0.71
21-Jul-12,76,107,91.5,-
22-Jul-12,81,101,91,-
23-Jul-12,79,98,88.5,-
24-Jul-12,78,97,87.5,-
25-Jul-12,79,101,90,-
26-Jul-12,79,101,90,-
27-Jul-12,80,98,89,-
28-Jul-12,78,103,90.5,-
29-Jul-12,77,105,91,-
30-Jul-12,82,103,92.5,-
31-Jul-12,79,106,92.5,-
1-Aug-12,81,106,93.5,-
2-Aug-12,82,107,94.5,-
3-Aug-12,80,104,92,-
4-Aug-12,80,102,91,-
5-Aug-12,80,103,91.5,-
6-Aug-12,81,104,92.5,-
7-Aug-12,80,104,92,-
8-Aug-12,79,96,87.5,-
9-Aug-12,76,108,92,-
10-Aug-12,81,98,89.5,-
11-Aug-12,72,99,85.5,-
12-Aug-12,76,105,90.5,-
13-Aug-12,81,104,92.5,-
14-Aug-12,74,106,90,0.55
15-Aug-12,70,95,82.5,1.42
16-Aug-12,79,91,85,-
17-Aug-12,75,98,86.5,-
18-Aug-12,69,87,78,0.93
19-Aug-12,68,93,80.5,-
20-Aug-12,69,93,81,-
21-Aug-12,67,78,72.5,0.28
22-Aug-12,65,90,77.5,-
23-Aug-12,71,92,81.5,-
24-Aug-12,73,93,83,-
25-Aug-12,78,94,86,0.01
26-Aug-12,76,86,81,-
27-Aug-12,75,96,85.5,-
28-Aug-12,76,95,85.5,-
29-Aug-12,71,96,83.5,-
30-Aug-12,76,98,87,-
31-Aug-12,79,101,90,-
1-Sep-12,78,99,88.5,-
2-Sep-12,78,100,89,-
3-Sep-12,78,101,89.5,-
4-Sep-12,78,103,90.5,-
5-Sep-12,77,103,90,-
6-Sep-12,77,104,90.5,-
7-Sep-12,79,104,91.5,-
8-Sep-12,67,87,77,0.03
9-Sep-12,57,91,74,-
10-Sep-12,62,93,77.5,-
11-Sep-12,69,92,80.5,-
12-Sep-12,68,94,81,-
13-Sep-12,72,87,79.5,-
14-Sep-12,65,72,68.5,0.01
15-Sep-12,63,77,70,-
16-Sep-12,66,70,68,0.18
17-Sep-12,67,83,75,-
18-Sep-12,63,85,74,-
19-Sep-12,59,88,73.5,-
20-Sep-12,62,94,78,-
21-Sep-12,64,96,80,-
22-Sep-12,66,97,81.5,-
23-Sep-12,66,95,80.5,-
24-Sep-12,70,97,83.5,-
25-Sep-12,73,95,84,-
26-Sep-12,74,94,84,-
27-Sep-12,74,91,82.5,-
28-Sep-12,71,89,80,-
29-Sep-12,66,73,69.5,1.38
30-Sep-12,61,75,68,0.1
1-Oct-12,60,84,72,-
2-Oct-12,64,80,72,-
3-Oct-12,59,84,71.5,-
4-Oct-12,63,87,75,-
5-Oct-12,57,84,70.5,-
6-Oct-12,48,57,52.5,-
7-Oct-12,47,53,50,-
8-Oct-12,39,66,52.5,-
9-Oct-12,50,82,66,-
10-Oct-12,61,72,66.5,-
11-Oct-12,64,87,75.5,-
12-Oct-12,70,86,78,-
13-Oct-12,71,84,77.5,0.06
14-Oct-12,62,83,72.5,1.02
15-Oct-12,54,82,68,-
16-Oct-12,59,77,68,-
17-Oct-12,60,88,74,-
18-Oct-12,51,76,63.5,-
19-Oct-12,51,78,64.5,-
20-Oct-12,53,88,70.5,-
21-Oct-12,75,89,82,-
22-Oct-12,73,86,79.5,-
23-Oct-12,71,85,78,-
24-Oct-12,69,85,77,-
25-Oct-12,54,81,67.5,-
26-Oct-12,46,57,51.5,-
27-Oct-12,38,59,48.5,-
28-Oct-12,38,64,51,-
29-Oct-12,41,68,54.5,-
30-Oct-12,43,77,60,-
31-Oct-12,50,83,66.5,-
1-Nov-12,52,88,70,-
2-Nov-12,55,87,71,-
3-Nov-12,59,84,71.5,-
4-Nov-12,54,75,64.5,-
5-Nov-12,52,77,64.5,-
6-Nov-12,45,74,59.5,-
7-Nov-12,48,76,62,-
8-Nov-12,51,82,66.5,-
9-Nov-12,65,84,74.5,-
10-Nov-12,65,81,73,-
11-Nov-12,43,76,59.5,0.05
12-Nov-12,37,56,46.5,-
13-Nov-12,35,59,47,-
14-Nov-12,42,63,52.5,-
15-Nov-12,39,65,52,-
16-Nov-12,38,65,51.5,-
17-Nov-12,38,65,51.5,-
18-Nov-12,42,69,55.5,-
19-Nov-12,54,72,63,-
20-Nov-12,50,80,65,-
21-Nov-12,49,80,64.5,-
22-Nov-12,53,78,65.5,-
23-Nov-12,45,66,55.5,-
24-Nov-12,37,60,48.5,-
25-Nov-12,44,76,60,-
26-Nov-12,48,74,61,-
27-Nov-12,38,54,46,-
28-Nov-12,35,66,50.5,-
29-Nov-12,37,69,53,-
30-Nov-12,55,76,65.5,-
1-Dec-12,64,83,73.5,-
2-Dec-12,66,83,74.5,-
3-Dec-12,65,80,72.5,-
4-Dec-12,48,73,60.5,-
5-Dec-12,42,66,54,-
6-Dec-12,47,70,58.5,-
7-Dec-12,50,72,61,-
8-Dec-12,50,70,60,-
9-Dec-12,40,67,53.5,-
10-Dec-12,30,44,37,-
11-Dec-12,25,50,37.5,-
12-Dec-12,28,58,43,-
13-Dec-12,32,66,49,-
14-Dec-12,52,61,56.5,0.39
15-Dec-12,50,74,62,-
16-Dec-12,53,74,63.5,-
17-Dec-12,42,62,52,-
18-Dec-12,38,79,58.5,-
19-Dec-12,54,78,66,-
20-Dec-12,40,54,47,-
21-Dec-12,25,65,45,-
22-Dec-12,32,68,50,-
23-Dec-12,45,65,55,-
24-Dec-12,33,50,41.5,-
25-Dec-12,28,48,38,1.33
26-Dec-12,22,32,27,-
27-Dec-12,23,45,34,0.01
28-Dec-12,30,42,36,0.03
29-Dec-12,27,47,37,-
30-Dec-12,27,49,38,-
31-Dec-12,39,49,44,0.19
1-Jan-13,36,46,41,0.01
2-Jan-13,31,42,36.5,-
3-Jan-13,28,49,38.5,-
4-Jan-13,39,50,44.5,-
5-Jan-13,35,54,44.5,-
6-Jan-13,33,57,45,-
7-Jan-13,28,55,41.5,-
8-Jan-13,44,50,47,1.93
9-Jan-13,48,57,52.5,1.54
10-Jan-13,48,58,53,0.04
11-Jan-13,46,71,58.5,-
12-Jan-13,36,66,51,0.1
13-Jan-13,30,43,36.5,-
14-Jan-13,29,46,37.5,-
15-Jan-13,30,39,34.5,0.05
16-Jan-13,26,49,37.5,-
17-Jan-13,34,61,47.5,-
18-Jan-13,31,62,46.5,-
19-Jan-13,40,67,53.5,-
20-Jan-13,38,69,53.5,-
21-Jan-13,39,56,47.5,-
22-Jan-13,36,66,51,-
23-Jan-13,47,75,61,-
24-Jan-13,50,79,64.5,-
25-Jan-13,44,53,48.5,-
26-Jan-13,45,54,49.5,-
27-Jan-13,49,76,62.5,-
28-Jan-13,67,78,72.5,-
29-Jan-13,54,80,67,0.39
30-Jan-13,39,55,47,-
31-Jan-13,31,69,50,-
1-Feb-13,29,59,44,-
2-Feb-13,44,67,55.5,-
3-Feb-13,37,70,53.5,-
4-Feb-13,54,73,63.5,-
5-Feb-13,57,67,62,-
6-Feb-13,53,76,64.5,-
7-Feb-13,53,80,66.5,-
8-Feb-13,41,65,53,-
9-Feb-13,47,59,53,0.01
10-Feb-13,46,69,57.5,1.3
11-Feb-13,45,56,50.5,-
12-Feb-13,41,49,45,0.38
13-Feb-13,39,59,49,-
14-Feb-13,36,69,52.5,-
15-Feb-13,37,52,44.5,-
16-Feb-13,30,56,43,-
17-Feb-13,37,72,54.5,-
18-Feb-13,47,78,62.5,-
19-Feb-13,37,61,49,-
20-Feb-13,42,53,47.5,0.14
21-Feb-13,43,68,55.5,0.13
22-Feb-13,31,48,39.5,-
23-Feb-13,30,55,42.5,-
24-Feb-13,36,70,53,-
25-Feb-13,41,62,51.5,0.02
26-Feb-13,40,59,49.5,-
27-Feb-13,37,57,47,-
28-Feb-13,35,59,47,-
1-Mar-13,33,56,44.5,-
2-Mar-13,31,56,43.5,-
3-Mar-13,36,72,54,-
4-Mar-13,55,88,71.5,-
5-Mar-13,39,58,48.5,-
6-Mar-13,33,61,47,-
7-Mar-13,38,72,55,-
8-Mar-13,54,63,58.5,0.01
9-Mar-13,60,70,65,0.26
10-Mar-13,41,60,50.5,-
11-Mar-13,35,61,48,-
12-Mar-13,38,67,52.5,-
13-Mar-13,41,69,55,-
14-Mar-13,47,78,62.5,-
15-Mar-13,53,82,67.5,-
16-Mar-13,57,82,69.5,-
17-Mar-13,54,72,63,-
18-Mar-13,52,70,61,-
19-Mar-13,45,68,56.5,-
20-Mar-13,45,68,56.5,-
21-Mar-13,51,70,60.5,-
22-Mar-13,47,67,57,-
23-Mar-13,47,54,50.5,0.09
24-Mar-13,38,54,46,-
25-Mar-13,32,55,43.5,-
26-Mar-13,31,59,45,-
27-Mar-13,40,71,55.5,-
28-Mar-13,51,71,61,-
29-Mar-13,51,77,64,-
30-Mar-13,53,77,65,0.96
31-Mar-13,59,74,66.5,0.01
1-Apr-13,52,79,65.5,-
2-Apr-13,53,69,61,-
3-Apr-13,43,55,49,0.97
4-Apr-13,42,52,47,-
5-Apr-13,39,68,53.5,-
6-Apr-13,56,75,65.5,-
7-Apr-13,61,73,67,-
8-Apr-13,65,75,70,-
9-Apr-13,69,80,74.5,-
10-Apr-13,39,73,56,0.14
11-Apr-13,39,62,50.5,-
12-Apr-13,42,76,59,-
13-Apr-13,53,77,65,-
14-Apr-13,55,81,68,-
15-Apr-13,69,86,77.5,-
16-Apr-13,71,87,79,-
17-Apr-13,72,84,78,-
18-Apr-13,43,76,59.5,0.84
19-Apr-13,40,63,51.5,-
20-Apr-13,42,71,56.5,-
21-Apr-13,48,71,59.5,-
22-Apr-13,53,78,65.5,-
23-Apr-13,41,69,55,0.03
24-Apr-13,37,61,49,-
25-Apr-13,50,74,62,-
26-Apr-13,60,78,69,-
27-Apr-13,59,74,66.5,-
28-Apr-13,52,81,66.5,-
29-Apr-13,60,85,72.5,-
30-Apr-13,59,82,70.5,-
1-May-13,65,81,73,-
2-May-13,44,68,56,0.02
3-May-13,39,67,53,-
4-May-13,39,74,56.5,-
5-May-13,46,70,58,-
6-May-13,48,77,62.5,-
7-May-13,57,84,70.5,-
8-May-13,61,85,73,-
9-May-13,66,75,70.5,0.22
10-May-13,65,82,73.5,-
11-May-13,60,81,70.5,-
12-May-13,53,78,65.5,-
13-May-13,54,88,71,-
14-May-13,60,87,73.5,-
15-May-13,63,78,70.5,1.56
16-May-13,62,82,72,-
17-May-13,72,90,81,-
18-May-13,73,92,82.5,-
19-May-13,71,89,80,-
20-May-13,74,90,82,-
21-May-13,59,81,70,0.68
22-May-13,53,85,69,-
23-May-13,69,86,77.5,-
24-May-13,68,84,76,0.2
25-May-13,67,82,74.5,0.25
26-May-13,72,86,79,-
27-May-13,72,85,78.5,-
28-May-13,72,85,78.5,-
29-May-13,71,85,78,0.23
30-May-13,74,89,81.5,-
31-May-13,77,90,83.5,-
1-Jun-13,74,87,80.5,-
2-Jun-13,65,83,74,-
3-Jun-13,62,90,76,-
4-Jun-13,71,92,81.5,-
5-Jun-13,73,90,81.5,-
