State,year,week,ILITOTAL,last_day_of_the_week,average_temperature,City
California,2012,18,732,2012-05-06,62.78571428571429,Los Angeles
California,2012,18,732,2012-05-06,57.28571428571429,San Francisco
Colorado,2012,18,125,2012-05-06,49.28571428571429,Denver
Georgia,2012,18,175,2012-05-06,76.71428571428571,Atlanta
Illinois,2012,18,749,2012-05-06,62.64285714285714,Chicago
New York,2012,18,47,2012-05-06,55.92857142857143,New York
Pennsylvania,2012,18,143,2012-05-06,61.07142857142857,Philadelphia
Texas,2012,18,737,2012-05-06,80.21428571428571,Dallas
Texas,2012,18,737,2012-05-06,79.64285714285714,Houston
Washington,2012,18,106,2012-05-06,49.28571428571429,Seattle
Arizona,2012,19,151,2012-05-13,82.28571428571429,Phoenix
California,2012,19,673,2012-05-13,65.64285714285714,Los Angeles
California,2012,19,673,2012-05-13,61.42857142857143,San Francisco
Colorado,2012,19,99,2012-05-13,55.78571428571429,Denver
Georgia,2012,19,189,2012-05-13,67.78571428571429,Atlanta
Illinois,2012,19,544,2012-05-13,58.78571428571429,Chicago
New York,2012,19,52,2012-05-13,60.5,New York
Pennsylvania,2012,19,127,2012-05-13,63.714285714285715,Philadelphia
Texas,2012,19,751,2012-05-13,71.78571428571429,Dallas
Texas,2012,19,751,2012-05-13,76.28571428571429,Houston
Washington,2012,19,79,2012-05-13,55.78571428571429,Seattle
Arizona,2012,20,126,2012-05-20,88.7142857142857,Phoenix
California,2012,20,613,2012-05-20,66.57142857142857,Los Angeles
California,2012,20,613,2012-05-20,57.714285714285715,San Francisco
Colorado,2012,20,130,2012-05-20,58.07142857142857,Denver
Georgia,2012,20,208,2012-05-20,72.28571428571429,Atlanta
Illinois,2012,20,542,2012-05-20,67.78571428571429,Chicago
New York,2012,20,46,2012-05-20,64.0,New York
Pennsylvania,2012,20,119,2012-05-20,67.71428571428571,Philadelphia
Texas,2012,20,750,2012-05-20,76.14285714285714,Dallas
Texas,2012,20,750,2012-05-20,74.85714285714286,Houston
Washington,2012,20,54,2012-05-20,58.07142857142857,Seattle
Arizona,2012,21,117,2012-05-27,84.64285714285714,Phoenix
California,2012,21,593,2012-05-27,65.21428571428571,Los Angeles
California,2012,21,593,2012-05-27,56.85714285714285,San Francisco
Colorado,2012,21,77,2012-05-27,56.28571428571429,Denver
Georgia,2012,21,476,2012-05-27,76.35714285714286,Atlanta
Illinois,2012,21,482,2012-05-27,70.42857142857143,Chicago
New York,2012,21,34,2012-05-27,67.21428571428571,New York
Pennsylvania,2012,21,97,2012-05-27,73.0,Philadelphia
Texas,2012,21,781,2012-05-27,82.42857142857143,Dallas
Texas,2012,21,781,2012-05-27,82.28571428571429,Houston
Washington,2012,21,26,2012-05-27,56.28571428571429,Seattle
Arizona,2012,22,99,2012-06-03,88.35714285714286,Phoenix
California,2012,22,465,2012-06-03,67.92857142857143,Los Angeles
California,2012,22,465,2012-06-03,59.714285714285715,San Francisco
Colorado,2012,22,85,2012-06-03,57.64285714285714,Denver
Georgia,2012,22,496,2012-06-03,75.21428571428571,Atlanta
Illinois,2012,22,511,2012-06-03,65.71428571428571,Chicago
New York,2012,22,24,2012-06-03,71.85714285714286,New York
Pennsylvania,2012,22,83,2012-06-03,73.5,Philadelphia
Texas,2012,22,611,2012-06-03,80.42857142857143,Dallas
Texas,2012,22,611,2012-06-03,82.57142857142857,Houston
Washington,2012,22,25,2012-06-03,57.64285714285714,Seattle
Arizona,2012,23,92,2012-06-10,89.07142857142857,Phoenix
California,2012,23,497,2012-06-10,67.78571428571429,Los Angeles
California,2012,23,497,2012-06-10,59.57142857142857,San Francisco
Colorado,2012,23,88,2012-06-10,53.64285714285714,Denver
Georgia,2012,23,363,2012-06-10,73.64285714285714,Atlanta
Illinois,2012,23,490,2012-06-10,70.14285714285714,Chicago
New York,2012,23,18,2012-06-10,65.78571428571429,New York
Pennsylvania,2012,23,71,2012-06-10,69.07142857142857,Philadelphia
Texas,2012,23,552,2012-06-10,80.92857142857143,Dallas
Texas,2012,23,552,2012-06-10,84.0,Houston
Washington,2012,23,19,2012-06-10,53.64285714285714,Seattle
Arizona,2012,24,102,2012-06-17,92.5,Phoenix
California,2012,24,466,2012-06-17,67.64285714285714,Los Angeles
California,2012,24,466,2012-06-17,63.64285714285714,San Francisco
Colorado,2012,24,77,2012-06-17,59.92857142857143,Denver
Georgia,2012,24,346,2012-06-17,76.14285714285714,Atlanta
Illinois,2012,24,374,2012-06-17,74.14285714285714,Chicago
New York,2012,24,9,2012-06-17,67.71428571428571,New York
Pennsylvania,2012,24,62,2012-06-17,71.85714285714286,Philadelphia
Texas,2012,24,520,2012-06-17,82.92857142857143,Dallas
Texas,2012,24,520,2012-06-17,83.0,Houston
Washington,2012,24,16,2012-06-17,59.92857142857143,Seattle
Arizona,2012,25,90,2012-06-24,95.5,Phoenix
California,2012,25,482,2012-06-24,67.28571428571429,Los Angeles
California,2012,25,482,2012-06-24,61.214285714285715,San Francisco
Colorado,2012,25,75,2012-06-24,58.5,Denver
Georgia,2012,25,261,2012-06-24,79.85714285714286,Atlanta
Illinois,2012,25,389,2012-06-24,80.14285714285714,Chicago
New York,2012,25,13,2012-06-24,76.21428571428571,New York
Pennsylvania,2012,25,64,2012-06-24,78.28571428571429,Philadelphia
Texas,2012,25,539,2012-06-24,85.21428571428571,Dallas
Texas,2012,25,539,2012-06-24,82.21428571428571,Houston
Washington,2012,25,17,2012-06-24,58.5,Seattle
Arizona,2012,26,94,2012-07-01,99.0,Phoenix
California,2012,26,411,2012-07-01,69.5,Los Angeles
California,2012,26,411,2012-07-01,62.14285714285714,San Francisco
Colorado,2012,26,60,2012-07-01,61.214285714285715,Denver
Georgia,2012,26,231,2012-07-01,85.21428571428571,Atlanta
Illinois,2012,26,402,2012-07-01,77.21428571428571,Chicago
New York,2012,26,8,2012-07-01,76.14285714285714,New York
Pennsylvania,2012,26,59,2012-07-01,78.64285714285714,Philadelphia
Texas,2012,26,572,2012-07-01,89.14285714285714,Dallas
Texas,2012,26,572,2012-07-01,85.42857142857143,Houston
Washington,2012,26,16,2012-07-01,61.214285714285715,Seattle
Arizona,2012,27,57,2012-07-08,93.0,Phoenix
California,2012,27,365,2012-07-08,65.78571428571429,Los Angeles
California,2012,27,365,2012-07-08,61.42857142857143,San Francisco
Colorado,2012,27,57,2012-07-08,63.214285714285715,Denver
Georgia,2012,27,253,2012-07-08,84.85714285714286,Atlanta
Illinois,2012,27,369,2012-07-08,86.7142857142857,Chicago
New York,2012,27,13,2012-07-08,82.0,New York
Pennsylvania,2012,27,43,2012-07-08,85.71428571428571,Philadelphia
Texas,2012,27,516,2012-07-08,86.92857142857143,Dallas
Texas,2012,27,516,2012-07-08,83.07142857142857,Houston
Washington,2012,27,13,2012-07-08,63.214285714285715,Seattle
Arizona,2012,28,63,2012-07-15,93.85714285714286,Phoenix
California,2012,28,390,2012-07-15,72.71428571428571,Los Angeles
California,2012,28,390,2012-07-15,60.92857142857143,San Francisco
Colorado,2012,28,68,2012-07-15,65.71428571428571,Denver
Georgia,2012,28,221,2012-07-15,81.71428571428571,Atlanta
Illinois,2012,28,396,2012-07-15,78.92857142857143,Chicago
New York,2012,28,8,2012-07-15,77.92857142857143,New York
Pennsylvania,2012,28,49,2012-07-15,80.21428571428571,Philadelphia
Texas,2012,28,467,2012-07-15,84.78571428571429,Dallas
Texas,2012,28,467,2012-07-15,78.92857142857143,Houston
Washington,2012,28,12,2012-07-15,65.71428571428571,Seattle
Arizona,2012,29,67,2012-07-22,94.42857142857143,Phoenix
California,2012,29,357,2012-07-22,72.57142857142857,Los Angeles
California,2012,29,357,2012-07-22,63.64285714285714,San Francisco
Colorado,2012,29,69,2012-07-22,64.78571428571429,Denver
Georgia,2012,29,222,2012-07-22,81.92857142857143,Atlanta
Illinois,2012,29,397,2012-07-22,80.35714285714286,Chicago
New York,2012,29,7,2012-07-22,76.28571428571429,New York
Pennsylvania,2012,29,57,2012-07-22,79.64285714285714,Philadelphia
Texas,2012,29,471,2012-07-22,88.85714285714286,Dallas
Texas,2012,29,471,2012-07-22,84.07142857142857,Houston
Washington,2012,29,12,2012-07-22,64.78571428571429,Seattle
Arizona,2012,30,77,2012-07-29,94.42857142857143,Phoenix
California,2012,30,354,2012-07-29,68.78571428571429,Los Angeles
California,2012,30,354,2012-07-29,63.42857142857143,San Francisco
Colorado,2012,30,72,2012-07-29,64.14285714285714,Denver
Georgia,2012,30,231,2012-07-29,86.0,Atlanta
Illinois,2012,30,429,2012-07-29,79.07142857142857,Chicago
New York,2012,30,5,2012-07-29,78.35714285714286,New York
Pennsylvania,2012,30,71,2012-07-29,81.71428571428571,Philadelphia
Texas,2012,30,438,2012-07-29,89.5,Dallas
Texas,2012,30,438,2012-07-29,84.85714285714286,Houston
Washington,2012,30,13,2012-07-29,64.14285714285714,Seattle
Arizona,2012,31,102,2012-08-05,95.5,Phoenix
California,2012,31,362,2012-08-05,71.07142857142857,Los Angeles
California,2012,31,362,2012-08-05,62.0,San Francisco
Colorado,2012,31,59,2012-08-05,68.57142857142857,Denver
Georgia,2012,31,210,2012-08-05,82.5,Atlanta
Illinois,2012,31,490,2012-08-05,79.35714285714286,Chicago
New York,2012,31,9,2012-08-05,77.78571428571429,New York
Pennsylvania,2012,31,52,2012-08-05,81.28571428571429,Philadelphia
Texas,2012,31,491,2012-08-05,92.5,Dallas
Texas,2012,31,491,2012-08-05,87.14285714285714,Houston
Washington,2012,31,7,2012-08-05,68.57142857142857,Seattle
Arizona,2012,32,127,2012-08-12,102.07142857142857,Phoenix
California,2012,32,343,2012-08-12,78.92857142857143,Los Angeles
California,2012,32,343,2012-08-12,61.64285714285714,San Francisco
Colorado,2012,32,62,2012-08-12,68.14285714285714,Denver
Georgia,2012,32,281,2012-08-12,79.0,Atlanta
Illinois,2012,32,378,2012-08-12,71.28571428571429,Chicago
New York,2012,32,5,2012-08-12,78.5,New York
Pennsylvania,2012,32,46,2012-08-12,79.64285714285714,Philadelphia
Texas,2012,32,500,2012-08-12,89.92857142857143,Dallas
Texas,2012,32,500,2012-08-12,86.92857142857143,Houston
Washington,2012,32,14,2012-08-12,68.14285714285714,Seattle
Arizona,2012,33,116,2012-08-19,93.21428571428572,Phoenix
California,2012,33,160,2012-08-19,79.28571428571429,Los Angeles
California,2012,33,160,2012-08-19,61.28571428571429,San Francisco
Colorado,2012,33,72,2012-08-19,72.14285714285714,Denver
Georgia,2012,33,335,2012-08-19,78.35714285714286,Atlanta
Illinois,2012,33,442,2012-08-19,68.64285714285714,Chicago
New York,2012,33,7,2012-08-19,75.5,New York
Pennsylvania,2012,33,55,2012-08-19,76.71428571428571,Philadelphia
Texas,2012,33,519,2012-08-19,85.0,Dallas
Texas,2012,33,519,2012-08-19,86.7142857142857,Houston
Washington,2012,33,11,2012-08-19,72.14285714285714,Seattle
Arizona,2012,34,142,2012-08-26,89.64285714285714,Phoenix
California,2012,34,411,2012-08-26,74.42857142857143,Los Angeles
California,2012,34,411,2012-08-26,60.42857142857143,San Francisco
Colorado,2012,34,95,2012-08-26,64.28571428571429,Denver
Georgia,2012,34,483,2012-08-26,77.07142857142857,Atlanta
Illinois,2012,34,518,2012-08-26,72.92857142857143,Chicago
New York,2012,34,4,2012-08-26,74.78571428571429,New York
Pennsylvania,2012,34,68,2012-08-26,77.07142857142857,Philadelphia
Texas,2012,34,561,2012-08-26,80.35714285714286,Dallas
Texas,2012,34,561,2012-08-26,82.85714285714286,Houston
Washington,2012,34,8,2012-08-26,64.28571428571429,Seattle
Arizona,2012,35,179,2012-09-02,95.64285714285714,Phoenix
California,2012,35,525,2012-09-02,77.28571428571429,Los Angeles
California,2012,35,525,2012-09-02,63.35714285714285,San Francisco
Colorado,2012,35,110,2012-09-02,62.85714285714285,Denver
Georgia,2012,35,414,2012-09-02,79.57142857142857,Atlanta
Illinois,2012,35,579,2012-09-02,76.42857142857143,Chicago
New York,2012,35,7,2012-09-02,77.07142857142857,New York
Pennsylvania,2012,35,65,2012-09-02,78.64285714285714,Philadelphia
Texas,2012,35,542,2012-09-02,87.0,Dallas
Texas,2012,35,542,2012-09-02,86.85714285714286,Houston
Washington,2012,35,7,2012-09-02,62.85714285714285,Seattle
Arizona,2012,36,133,2012-09-09,88.92857142857143,Phoenix
California,2012,36,543,2012-09-09,77.14285714285714,Los Angeles
California,2012,36,543,2012-09-09,60.5,San Francisco
Colorado,2012,36,89,2012-09-09,66.5,Denver
Georgia,2012,36,215,2012-09-09,77.14285714285714,Atlanta
Illinois,2012,36,503,2012-09-09,72.07142857142857,Chicago
New York,2012,36,8,2012-09-09,74.64285714285714,New York
Pennsylvania,2012,36,66,2012-09-09,76.71428571428571,Philadelphia
Texas,2012,36,579,2012-09-09,86.14285714285714,Dallas
Texas,2012,36,579,2012-09-09,84.0,Houston
Washington,2012,36,13,2012-09-09,66.5,Seattle
Arizona,2012,37,137,2012-09-16,85.42857142857143,Phoenix
California,2012,37,627,2012-09-16,79.0,Los Angeles
California,2012,37,627,2012-09-16,60.5,San Francisco
Colorado,2012,37,97,2012-09-16,62.42857142857143,Denver
Georgia,2012,37,226,2012-09-16,74.21428571428571,Atlanta
Illinois,2012,37,687,2012-09-16,65.57142857142857,Chicago
New York,2012,37,15,2012-09-16,67.71428571428571,New York
Pennsylvania,2012,37,117,2012-09-16,68.21428571428571,Philadelphia
Texas,2012,37,780,2012-09-16,75.0,Dallas
Texas,2012,37,780,2012-09-16,78.28571428571429,Houston
Washington,2012,37,9,2012-09-16,62.42857142857143,Seattle
Arizona,2012,38,137,2012-09-23,90.71428571428572,Phoenix
California,2012,38,678,2012-09-23,76.5,Los Angeles
California,2012,38,678,2012-09-23,60.28571428571429,San Francisco
Colorado,2012,38,102,2012-09-23,62.0,Denver
Georgia,2012,38,211,2012-09-23,71.92857142857143,Atlanta
Illinois,2012,38,607,2012-09-23,56.57142857142857,Chicago
New York,2012,38,9,2012-09-23,65.64285714285714,New York
Pennsylvania,2012,38,97,2012-09-23,67.71428571428571,Philadelphia
Texas,2012,38,782,2012-09-23,77.5,Dallas
Texas,2012,38,782,2012-09-23,76.71428571428571,Houston
Washington,2012,38,18,2012-09-23,62.0,Seattle
Arizona,2012,39,122,2012-09-30,87.14285714285714,Phoenix
California,2012,39,656,2012-09-30,73.07142857142857,Los Angeles
California,2012,39,656,2012-09-30,60.85714285714285,San Francisco
Colorado,2012,39,132,2012-09-30,60.57142857142857,Denver
Georgia,2012,39,230,2012-09-30,71.57142857142857,Atlanta
Illinois,2012,39,644,2012-09-30,58.92857142857143,Chicago
New York,2012,39,24,2012-09-30,65.78571428571429,New York
Pennsylvania,2012,39,109,2012-09-30,66.21428571428571,Philadelphia
Texas,2012,39,778,2012-09-30,78.78571428571429,Dallas
Texas,2012,39,778,2012-09-30,78.42857142857143,Houston
Washington,2012,39,18,2012-09-30,60.57142857142857,Seattle
Arizona,2012,40,132,2012-10-07,85.78571428571429,Phoenix
California,2012,40,720,2012-10-07,73.42857142857143,Los Angeles
California,2012,40,720,2012-10-07,68.35714285714286,San Francisco
Colorado,2012,40,102,2012-10-07,58.714285714285715,Denver
Georgia,2012,40,261,2012-10-07,68.07142857142857,Atlanta
Illinois,2012,40,696,2012-10-07,53.07142857142857,Chicago
New York,2012,40,48,2012-10-07,65.28571428571429,New York
Pennsylvania,2012,40,213,2012-10-07,66.28571428571429,Philadelphia
Texas,2012,40,794,2012-10-07,66.21428571428571,Dallas
Texas,2012,40,794,2012-10-07,71.78571428571429,Houston
Washington,2012,40,38,2012-10-07,58.714285714285715,Seattle
Arizona,2012,41,136,2012-10-14,78.71428571428571,Phoenix
California,2012,41,781,2012-10-14,68.42857142857143,Los Angeles
California,2012,41,781,2012-10-14,61.0,San Francisco
Colorado,2012,41,115,2012-10-14,54.78571428571429,Denver
Georgia,2012,41,308,2012-10-14,64.14285714285714,Atlanta
Illinois,2012,41,734,2012-10-14,51.35714285714285,Chicago
New York,2012,41,94,2012-10-14,54.57142857142857,New York
Pennsylvania,2012,41,171,2012-10-14,54.57142857142857,Philadelphia
Texas,2012,41,951,2012-10-14,69.78571428571429,Dallas
Texas,2012,41,951,2012-10-14,75.07142857142857,Houston
Washington,2012,41,40,2012-10-14,54.78571428571429,Seattle
Arizona,2012,42,194,2012-10-21,79.35714285714286,Phoenix
California,2012,42,840,2012-10-21,74.21428571428571,Los Angeles
California,2012,42,840,2012-10-21,64.14285714285714,San Francisco
Colorado,2012,42,98,2012-10-21,52.0,Denver
Georgia,2012,42,278,2012-10-21,62.714285714285715,Atlanta
Illinois,2012,42,789,2012-10-21,52.28571428571429,Chicago
New York,2012,42,156,2012-10-21,58.92857142857143,New York
Pennsylvania,2012,42,219,2012-10-21,59.64285714285714,Philadelphia
Texas,2012,42,768,2012-10-21,70.07142857142857,Dallas
Texas,2012,42,768,2012-10-21,71.71428571428571,Houston
Washington,2012,42,49,2012-10-21,52.0,Seattle
Arizona,2012,43,139,2012-10-28,73.28571428571429,Phoenix
California,2012,43,812,2012-10-28,70.42857142857143,Los Angeles
California,2012,43,812,2012-10-28,61.07142857142857,San Francisco
Colorado,2012,43,101,2012-10-28,48.78571428571429,Denver
Georgia,2012,43,364,2012-10-28,64.42857142857143,Atlanta
Illinois,2012,43,765,2012-10-28,53.85714285714285,Chicago
New York,2012,43,124,2012-10-28,60.0,New York
Pennsylvania,2012,43,201,2012-10-28,61.28571428571429,Philadelphia
Texas,2012,43,981,2012-10-28,64.71428571428571,Dallas
Texas,2012,43,981,2012-10-28,69.28571428571429,Houston
Washington,2012,43,47,2012-10-28,48.78571428571429,Seattle
Arizona,2012,44,193,2012-11-04,74.35714285714286,Phoenix
California,2012,44,853,2012-11-04,66.35714285714286,Los Angeles
California,2012,44,853,2012-11-04,60.78571428571429,San Francisco
Colorado,2012,44,124,2012-11-04,56.14285714285714,Denver
Georgia,2012,44,384,2012-11-04,55.5,Atlanta
Illinois,2012,44,836,2012-11-04,42.07142857142857,Chicago
New York,2012,44,84,2012-11-04,50.14285714285714,New York
Pennsylvania,2012,44,213,2012-11-04,47.78571428571429,Philadelphia
Texas,2012,44,1080,2012-11-04,65.42857142857143,Dallas
Texas,2012,44,1080,2012-11-04,67.92857142857143,Houston
Washington,2012,44,61,2012-11-04,56.14285714285714,Seattle
Arizona,2012,45,224,2012-11-11,68.85714285714286,Phoenix
California,2012,45,909,2012-11-11,62.78571428571429,Los Angeles
California,2012,45,909,2012-11-11,57.78571428571429,San Francisco
Colorado,2012,45,137,2012-11-11,44.42857142857143,Denver
Georgia,2012,45,587,2012-11-11,52.07142857142857,Atlanta
Illinois,2012,45,923,2012-11-11,45.0,Chicago
New York,2012,45,138,2012-11-11,42.42857142857143,New York
Pennsylvania,2012,45,235,2012-11-11,44.0,Philadelphia
Texas,2012,45,1314,2012-11-11,65.64285714285714,Dallas
Texas,2012,45,1314,2012-11-11,68.5,Houston
Washington,2012,45,60,2012-11-11,44.42857142857143,Seattle
Arizona,2012,46,224,2012-11-18,64.85714285714286,Phoenix
California,2012,46,857,2012-11-18,63.57142857142857,Los Angeles
California,2012,46,857,2012-11-18,57.07142857142857,San Francisco
Colorado,2012,46,164,2012-11-18,46.42857142857143,Denver
Georgia,2012,46,787,2012-11-18,50.35714285714285,Atlanta
Illinois,2012,46,885,2012-11-18,38.285714285714285,Chicago
New York,2012,46,171,2012-11-18,45.35714285714285,New York
Pennsylvania,2012,46,236,2012-11-18,46.714285714285715,Philadelphia
Texas,2012,46,1269,2012-11-18,50.92857142857143,Dallas
Texas,2012,46,1269,2012-11-18,54.57142857142857,Houston
Washington,2012,46,86,2012-11-18,46.42857142857143,Seattle
Arizona,2012,47,193,2012-11-25,69.14285714285714,Phoenix
California,2012,47,639,2012-11-25,62.64285714285714,Los Angeles
California,2012,47,639,2012-11-25,58.28571428571429,San Francisco
Colorado,2012,47,147,2012-11-25,45.07142857142857,Denver
Georgia,2012,47,781,2012-11-25,53.714285714285715,Atlanta
Illinois,2012,47,853,2012-11-25,41.642857142857146,Chicago
New York,2012,47,176,2012-11-25,43.57142857142857,New York
Pennsylvania,2012,47,208,2012-11-25,44.85714285714285,Philadelphia
Texas,2012,47,1644,2012-11-25,60.28571428571429,Dallas
Texas,2012,47,1644,2012-11-25,61.714285714285715,Houston
Washington,2012,47,56,2012-11-25,45.07142857142857,Seattle
Arizona,2012,48,217,2012-12-02,66.57142857142857,Phoenix
California,2012,48,946,2012-12-02,61.85714285714285,Los Angeles
California,2012,48,946,2012-12-02,57.92857142857143,San Francisco
Colorado,2012,48,230,2012-12-02,46.78571428571429,Denver
Georgia,2012,48,1086,2012-12-02,53.14285714285714,Atlanta
Illinois,2012,48,1116,2012-12-02,39.0,Chicago
New York,2012,48,260,2012-12-02,40.92857142857143,New York
Pennsylvania,2012,48,282,2012-12-02,40.857142857142854,Philadelphia
Texas,2012,48,1692,2012-12-02,60.57142857142857,Dallas
Texas,2012,48,1692,2012-12-02,63.64285714285714,Houston
Washington,2012,48,75,2012-12-02,46.78571428571429,Seattle
Arizona,2012,49,281,2012-12-09,64.21428571428571,Phoenix
California,2012,49,905,2012-12-09,60.35714285714285,Los Angeles
California,2012,49,905,2012-12-09,55.14285714285714,San Francisco
Colorado,2012,49,300,2012-12-09,43.92857142857143,Denver
Georgia,2012,49,1338,2012-12-09,60.78571428571429,Atlanta
Illinois,2012,49,1529,2012-12-09,42.785714285714285,Chicago
New York,2012,49,380,2012-12-09,45.0,New York
Pennsylvania,2012,49,424,2012-12-09,47.28571428571429,Philadelphia
Texas,2012,49,2229,2012-12-09,60.0,Dallas
Texas,2012,49,2229,2012-12-09,68.21428571428571,Houston
Washington,2012,49,71,2012-12-09,43.92857142857143,Seattle
Arizona,2012,50,344,2012-12-16,56.35714285714285,Phoenix
California,2012,50,920,2012-12-16,56.214285714285715,Los Angeles
California,2012,50,920,2012-12-16,50.5,San Francisco
Colorado,2012,50,402,2012-12-16,41.142857142857146,Denver
Georgia,2012,50,1416,2012-12-16,50.214285714285715,Atlanta
Illinois,2012,50,1995,2012-12-16,38.142857142857146,Chicago
New York,2012,50,506,2012-12-16,43.714285714285715,New York
Pennsylvania,2012,50,566,2012-12-16,44.64285714285715,Philadelphia
Texas,2012,50,2524,2012-12-16,49.78571428571429,Dallas
Texas,2012,50,2524,2012-12-16,55.214285714285715,Houston
Washington,2012,50,100,2012-12-16,41.142857142857146,Seattle
Arizona,2012,51,424,2012-12-23,54.57142857142857,Phoenix
California,2012,51,1025,2012-12-23,54.78571428571429,Los Angeles
California,2012,51,1025,2012-12-23,51.5,San Francisco
Colorado,2012,51,556,2012-12-23,39.92857142857143,Denver
Georgia,2012,51,1320,2012-12-23,48.85714285714285,Atlanta
Illinois,2012,51,2271,2012-12-23,32.57142857142857,Chicago
New York,2012,51,562,2012-12-23,43.42857142857143,New York
Pennsylvania,2012,51,629,2012-12-23,43.92857142857143,Philadelphia
Texas,2012,51,3327,2012-12-23,53.35714285714285,Dallas
Texas,2012,51,3327,2012-12-23,59.14285714285714,Houston
Washington,2012,51,88,2012-12-23,39.92857142857143,Seattle
Arizona,2012,52,446,2012-12-30,51.214285714285715,Phoenix
California,2012,52,957,2012-12-30,53.28571428571429,Los Angeles
California,2012,52,957,2012-12-30,49.07142857142857,San Francisco
Colorado,2012,52,483,2012-12-30,40.07142857142857,Denver
Georgia,2012,52,1427,2012-12-30,43.78571428571429,Atlanta
Illinois,2012,52,2227,2012-12-30,28.642857142857146,Chicago
New York,2012,52,475,2012-12-30,35.5,New York
Pennsylvania,2012,52,642,2012-12-30,36.714285714285715,Philadelphia
Texas,2012,52,2924,2012-12-30,35.92857142857143,Dallas
Texas,2012,52,2924,2012-12-30,48.57142857142857,Houston
Washington,2012,52,99,2012-12-30,40.07142857142857,Seattle
Arizona,2013,1,512,2013-01-06,50.35714285714285,Phoenix
California,2013,1,812,2013-01-06,53.0,Los Angeles
California,2013,1,812,2013-01-06,46.78571428571429,San Francisco
Colorado,2013,1,492,2013-01-06,38.142857142857146,Denver
Georgia,2013,1,783,2013-01-06,43.42857142857143,Atlanta
Illinois,2013,1,1903,2013-01-06,23.857142857142854,Chicago
New York,2013,1,397,2013-01-06,33.92857142857143,New York
Pennsylvania,2013,1,539,2013-01-06,34.857142857142854,Philadelphia
Texas,2013,1,3023,2013-01-06,42.0,Dallas
Texas,2013,1,3023,2013-01-06,49.28571428571429,Houston
Washington,2013,1,127,2013-01-06,38.142857142857146,Seattle
Arizona,2013,2,649,2013-01-13,48.92857142857143,Phoenix
California,2013,2,1255,2013-01-13,52.64285714285714,Los Angeles
California,2013,2,1255,2013-01-13,47.07142857142857,San Francisco
Colorado,2013,2,705,2013-01-13,37.5,Denver
Georgia,2013,2,1014,2013-01-13,58.64285714285714,Atlanta
Illinois,2013,2,2008,2013-01-13,34.785714285714285,Chicago
New York,2013,2,627,2013-01-13,41.785714285714285,New York
Pennsylvania,2013,2,762,2013-01-13,42.714285714285715,Philadelphia
Texas,2013,2,3518,2013-01-13,48.57142857142857,Dallas
Texas,2013,2,3518,2013-01-13,58.92857142857143,Houston
Washington,2013,2,173,2013-01-13,37.5,Seattle
Arizona,2013,3,934,2013-01-20,51.214285714285715,Phoenix
California,2013,3,1783,2013-01-20,57.35714285714285,Los Angeles
California,2013,3,1783,2013-01-20,47.28571428571429,San Francisco
Colorado,2013,3,891,2013-01-20,34.07142857142857,Denver
Georgia,2013,3,818,2013-01-20,51.35714285714285,Atlanta
Illinois,2013,3,1790,2013-01-20,25.714285714285715,Chicago
New York,2013,3,647,2013-01-20,39.642857142857146,New York
Pennsylvania,2013,3,892,2013-01-20,40.857142857142854,Philadelphia
Texas,2013,3,3430,2013-01-20,44.35714285714285,Dallas
Texas,2013,3,3430,2013-01-20,46.57142857142857,Houston
Washington,2013,3,231,2013-01-20,34.07142857142857,Seattle
Arizona,2013,4,1046,2013-01-27,63.78571428571429,Phoenix
California,2013,4,2043,2013-01-27,62.35714285714285,Los Angeles
California,2013,4,2043,2013-01-27,51.42857142857143,San Francisco
Colorado,2013,4,757,2013-01-27,39.07142857142857,Denver
Georgia,2013,4,605,2013-01-27,43.85714285714285,Atlanta
Illinois,2013,4,1500,2013-01-27,16.857142857142858,Chicago
New York,2013,4,621,2013-01-27,21.785714285714285,New York
Pennsylvania,2013,4,608,2013-01-27,22.92857142857143,Philadelphia
Texas,2013,4,3284,2013-01-27,54.92857142857143,Dallas
Texas,2013,4,3284,2013-01-27,64.21428571428571,Houston
Washington,2013,4,181,2013-01-27,39.07142857142857,Seattle
Arizona,2013,5,824,2013-02-03,56.14285714285714,Phoenix
California,2013,5,2349,2013-02-03,60.14285714285714,Los Angeles
California,2013,5,2349,2013-02-03,51.714285714285715,San Francisco
Colorado,2013,5,687,2013-02-03,43.85714285714285,Denver
Georgia,2013,5,651,2013-02-03,47.57142857142857,Atlanta
Illinois,2013,5,1572,2013-02-03,26.0,Chicago
New York,2013,5,468,2013-02-03,34.42857142857143,New York
Pennsylvania,2013,5,486,2013-02-03,36.785714285714285,Philadelphia
Texas,2013,5,2367,2013-02-03,55.64285714285714,Dallas
Texas,2013,5,2367,2013-02-03,60.14285714285714,Houston
Washington,2013,5,174,2013-02-03,43.85714285714285,Seattle
Arizona,2013,6,730,2013-02-10,59.64285714285714,Phoenix
California,2013,6,1993,2013-02-10,53.78571428571429,Los Angeles
California,2013,6,1993,2013-02-10,48.57142857142857,San Francisco
Colorado,2013,6,593,2013-02-10,44.42857142857143,Denver
Georgia,2013,6,686,2013-02-10,49.07142857142857,Atlanta
Illinois,2013,6,1381,2013-02-10,27.142857142857146,Chicago
New York,2013,6,419,2013-02-10,29.214285714285715,New York
Pennsylvania,2013,6,412,2013-02-10,31.714285714285715,Philadelphia
Texas,2013,6,1822,2013-02-10,60.0,Dallas
